Sentence Number,Token,Label
,terrace,O
,##s,O
,shown,O
,along,O
,this,O
,coast,O
,and,O
,their,O
,existence,O
,supports,O
,the,O
,other,O
,evidence,O
,.,O
,The,O
,weather,O
,compelled,O
,us,O
,to,O
,run,O
,into,O
,a,O
,little,O
,co,O
,##ve,O
,near,O
,the,O
,point,O
,just,O
,off,O
,Da,B-GeographicalLocation
,##pit,I-GeographicalLocation
,##an,I-GeographicalLocation
,.,O
,Of,O
,all,O
,the,O
,many,O
,inlet,O
,##s,O
,along,O
,the,O
,coasts,O
,of,O
,these,O
,islands,O
,I,O
,believe,O
,this,O
,to,O
,be,O
,one,O
,of,O
,the,O
,pre,O
,##tti,O
,##est,O
,and,O
,most,O
,secure,O
,.,O
,No,O
,sign,O
,of,O
,an,O
,entrance,O
,can,O
,be,O
,seen,O
,at,O
,less,O
,than,O
,a,O
,kilometer,O
,away,O
,and,O
,certainly,O
,this,O
,point,O
,would,O
,be,O
,too,O
,"""",O
,obscure,O
,to,O
,pick,O
,up,O
,at,O
,night,O
,.,O
,We,O
,went,O
,through,O
,a,O
,channel,O
,not,O
,over,O
,45,O
,meters,O
,wide,O
,between,O
,walls,O
,which,O
,in,O
,the,O
,darkness,O
,I,O
,took,O
,to,O
,be,O
,limestone,O
,",",O
,and,O
,emerged,O
,into,O
,a,O
,splendid,O
,basin,O
,with,O
,water,O
,as,O
,clear,O
,and,O
,p,O
,##la,O
,##cid,O
,as,O
,a,O
,mountain,O
,lake,O
,and,O
,with,O
,high,O
,walls,O
,on,O
,nearly,O
,all,O
,sides,O
,.,O
,By,O
,noon,O
,of,O
,the,O
,next,O
,day,O
,we,O
,anchored,O
,off,O
,the,O
,little,O
,stone,O
,fort,O
,at,O
,the,O
,entrance,O
,of,O
,Pan,B-GeographicalLocation
,##gu,I-GeographicalLocation
,##il,I-GeographicalLocation
,Bay,I-GeographicalLocation
,",",O
,which,O
,is,O
,in,O
,the,O
,extreme,O
,southwest,O
,corner,O
,of,O
,the,O
,much,O
,larger,O
,Bay,B-GeographicalLocation
,of,I-GeographicalLocation
,Il,I-GeographicalLocation
,##igan,I-GeographicalLocation
,.,O
,The,O
,most,O
,conspicuous,O
,object,O
,at,O
,this,O
,place,O
,is,O
,Mount,B-GeographicalLocation
,Mali,I-GeographicalLocation
,##nda,I-GeographicalLocation
,##ng,I-GeographicalLocation
,",",O
,an,O
,extinct,O
,volcano,O
,close,O
,to,O
,2,O
,",",O
,700,O
,meters,O
,in,O
,elevation,O
,lying,O
,to,O
,the,O
,west,O
,.,O
,Material,O
,from,O
,the,O
,slopes,B-Habitat
,of,O
,this,O
,mountain,O
,is,O
,basal,O
,##tic,O
,as,O
,I,O
,discovered,O
,by,O
,going,O
,up,O
,Pan,O
,##gu,O
,##il,O
,Bay,O
,in,O
,a,O
,hand,O
,in,O
,company,O
,A,O
,##vi,O
,##th,O
,Lieutenant,O
,La,O
,##tta,O
,##more,O
,",",O
,Philippines,B-GeographicalLocation
,Con,I-GeographicalLocation
,##stabulary,I-GeographicalLocation
,",",O
,and,O
,a,O
,detachment,O
,of,O
,soldiers,O
,",",O
,landing,O
,at,O
,several,O
,points,O
,to,O
,enable,O
,me,O
,to,O
,go,O
,far,O
,enough,O
,inland,O
,to,O
,examine,O
,the,O
,rocks,O
,",",O
,as,O
,there,O
,are,O
,no,O
,out,O
,##c,O
,##rops,O
,on,O
,the,O
,coast,O
,.,O
,Mount,O
,Mali,O
,##nda,O
,##ng,O
,is,O
,an,O
,old,O
,crater,O
,the,O
,rim,O
,of,O
,which,O
,is,O
,broken,O
,down,O
,on,O
,the,O
,side,O
,toward,O
,Mi,B-GeographicalLocation
,##sa,I-GeographicalLocation
,##mis,I-GeographicalLocation
,.,O
,It,O
,is,O
,for,O
,the,O
,most,O
,part,O
,covered,O
,with,O
,a,O
,l,O
,##ux,O
,##uria,O
,##nt,O
,mantle,O
,of,O
,timber,B-Habitat
,forest,I-Habitat
,;,O
,the,O
,soil,O
,on,O
,its,O
,slopes,O
,is,O
,of,O
,a,O
,rich,O
,red,O
,and,O
,is,O
,undoubtedly,O
,very,O
,fertile,O
,.,O
,A,O
,number,O
,of,O
,Visa,O
,##yan,O
,colonies,O
,exist,O
,on,O
,,
Sentence 2,GE,O
,##OL,O
,##O,O
,##GI,O
,##C,O
,R,O
,##EC,O
,##ON,O
,##NA,O
,##IS,O
,##SA,O
,##NC,O
,##E,O
,O,O
,##P,O
,MI,B-GeographicalLocation
,##ND,I-GeographicalLocation
,##AN,I-GeographicalLocation
,##A,I-GeographicalLocation
,##O,I-GeographicalLocation
,AND,O
,S,B-GeographicalLocation
,##U,I-GeographicalLocation
,##L,I-GeographicalLocation
,##U,I-GeographicalLocation
,.,O
,48,O
,##7,O
,boat,O
,and,O
,touch,O
,the,O
,branches,O
,of,O
,the,O
,trees,O
,",",O
,and,O
,we,O
,finally,O
,anchored,O
,in,O
,the,O
,narrow,O
,s,O
,##tra,O
,##its,O
,between,O
,Si,B-GeographicalLocation
,##asi,I-GeographicalLocation
,and,O
,La,B-GeographicalLocation
,##pa,I-GeographicalLocation
,##c,I-GeographicalLocation
,Islands,I-GeographicalLocation
,.,O
,We,O
,had,O
,but,O
,one,O
,or,O
,two,O
,hours,O
,of,O
,daylight,O
,at,O
,this,O
,point,O
,",",O
,but,O
,a,O
,short,O
,ex,O
,##cursion,O
,inland,O
,gave,O
,us,O
,a,O
,fairly,O
,good,O
,idea,O
,of,O
,the,O
,geology,O
,and,O
,soil,O
,of,O
,Si,O
,##asi,O
,.,O
,The,O
,soil,O
,",",O
,as,O
,in,O
,Sul,B-GeographicalLocation
,##u,I-GeographicalLocation
,",",O
,is,O
,a,O
,rich,O
,",",O
,red,O
,volcanic,O
,material,O
,",",O
,and,O
,the,O
,underlying,O
,rock,O
,",",O
,wherever,O
,I,O
,saw,O
,it,O
,",",O
,was,O
,and,O
,##esi,O
,##te,O
,or,O
,basal,O
,##t,O
,",",O
,which,O
,is,O
,frequently,O
,difficult,O
,to,O
,class,O
,##ify,O
,exactly,O
,",",O
,because,O
,of,O
,the,O
,weather,O
,##ing,O
,to,O
,which,O
,it,O
,has,O
,been,O
,subjected,O
,.,O
,Very,O
,little,O
,timber,O
,is,O
,seen,O
,on,O
,this,O
,island,O
,",",O
,at,O
,least,O
,not,O
,on,O
,the,O
,side,O
,at,O
,which,O
,we,O
,touched,O
,",",O
,and,O
,there,O
,are,O
,no,O
,large,O
,streams,O
,.,O
,However,O
,",",O
,a,O
,dense,O
,growth,O
,of,O
,co,O
,##gon,O
,grass,O
,prevents,O
,serious,O
,damage,O
,from,O
,erosion,O
,.,O
,If,O
,this,O
,grass,O
,were,O
,not,O
,present,O
,",",O
,loss,O
,would,O
,surely,O
,result,O
,owing,O
,to,O
,the,O
,lack,O
,of,O
,forest,B-Habitat
,.,O
,On,O
,the,O
,other,O
,hand,O
,co,O
,##gon,O
,",",O
,as,O
,in,O
,other,O
,parts,O
,of,O
,the,O
,islands,O
,",",O
,is,O
,a,O
,serious,O
,men,O
,##ace,O
,to,O
,agriculture,O
,.,O
,It,O
,is,O
,usually,O
,the,O
,custom,O
,of,O
,the,O
,natives,O
,annually,O
,to,O
,burn,O
,off,O
,this,O
,grass,O
,",",O
,but,O
,this,O
,method,O
,only,O
,afford,O
,##s,O
,temporary,O
,relief,O
,.,O
,A,O
,better,O
,way,O
,and,O
,one,O
,which,O
,is,O
,being,O
,practiced,O
,with,O
,success,O
,in,O
,many,O
,localities,O
,is,O
,to,O
,low,O
,the,O
,co,O
,##gon,O
,under,O
,for,O
,two,O
,or,O
,three,O
,seasons,O
,",",O
,when,O
,the,O
,roots,O
,rot,O
,and,O
,not,O
,only,O
,is,O
,the,O
,grass,O
,killed,O
,",",O
,but,O
,the,O
,soil,O
,is,O
,further,O
,en,O
,##rich,O
,##ed,O
,.,O
,The,O
,next,O
,point,O
,visited,O
,was,O
,the,O
,large,O
,and,O
,geological,O
,##ly,O
,little,O
,known,O
,Island,B-GeographicalLocation
,of,I-GeographicalLocation
,Basil,B-GeographicalLocation
,##an,I-GeographicalLocation
,.,O
,A,O
,portion,O
,of,O
,this,O
,island,O
,was,O
,occupied,O
,by,O
,the,O
,Spanish,O
,government,O
,",",O
,which,O
,had,O
,a,O
,small,O
,naval,O
,station,O
,at,O
,Isabel,B-GeographicalLocation
,##a,I-GeographicalLocation
,on,O
,the,O
,north,O
,coast,O
,.,O
,This,O
,has,O
,been,O
,abandoned,O
,since,O
,American,O
,occupation,O
,and,O
,the,O
,place,O
,has,O
,consequently,O
,fallen,O
,into,O
,neglect,O
,and,O
,decay,O
,.,O
,But,O
,little,O
,geographical,O
,exploration,O
,has,O
,been,O
,clone,O
,in,O
,Basil,O
,##an,O
,.,O
,Mr,O
,.,O
,Dean,O
,C,O
,.,O
,Worcester,O
,and,O
,his,O
,party,O
,visited,O
,it,O
,about,O
,the,O
,year,O
,1892,O
,",",O
,and,O
,the,O
,following,O
,is,O
,taken,O
,from,O
,his,O
,account,O
,"""",O
,"""",O
,Isabel,O
,##a,O
,",",O
,the,O
,capital,O
,of,O
,Basil,B-GeographicalLocation
,##au,I-GeographicalLocation
,",",O
,is,O
,a,O
,small,O
,place,O
,of,O
,less,O
,than,O
,1,O
,",",O
,000,O
,souls,O
,.,O
,The,O
,only,O
,Spaniards,O
,there,O
,are,O
,the,O
,officials,O
,and,O
,the,O
,Jesuit,O
,priest,O
,.,O
,The,O
,town,O
,is,O
,on,O
,high,O
,ground,O
,",",O
,which,O
,slopes,O
,sharply,O
,down,O
,to,O
,the,O
,edge,O
,of,O
,the,O
,channel,O
,separating,O
,Basil,O
,##an,O
,from,O
,the,O
,little,O
,island,O
,called,O
,Mal,B-GeographicalLocation
,##ama,I-GeographicalLocation
,##ui,I-GeographicalLocation
,.,O
,This,O
,channel,O
,",",O
,although,O
,extremely,O
,narrow,O
,",",O
,is,O
,very,O
,deep,O
,",",O
,and,O
,large,O
,vessels,O
,can,O
,come,O
,close,O
,ins,O
,##hore,O
,.,O
,T,O
,##rem,O
,##end,O
,##ous,O
,currents,O
,rush,O
,through,O
,it,O
,with,O
,the,O
,e,O
,##bb,O
,and,O
,flow,O
,of,O
,the,O
,tide,O
,##s,O
,.,O
,"""",O
,Isabel,O
,##a,O
,is,O
,a,O
,supply,O
,station,O
,for,O
,gun,O
,##boats,O
,",",O
,,
Sentence 3,48,O
,##4,O
,##SM,O
,##IT,O
,##H,O
,.,O
,THE,O
,S,B-GeographicalLocation
,##U,I-GeographicalLocation
,##L,I-GeographicalLocation
,##U,I-GeographicalLocation
,AR,I-GeographicalLocation
,##CH,I-GeographicalLocation
,##IP,I-GeographicalLocation
,##EL,I-GeographicalLocation
,##AG,I-GeographicalLocation
,##O,I-GeographicalLocation
,.,O
,The,O
,Sul,B-GeographicalLocation
,##u,I-GeographicalLocation
,Archipelago,I-GeographicalLocation
,is,O
,practically,O
,un,O
,##k,O
,##nov,O
,##ii,O
,from,O
,a,O
,geologic,O
,and,O
,p,O
,##hy,O
,##sio,O
,##graphic,O
,point,O
,of,O
,view,O
,",",O
,so,O
,that,O
,the,O
,information,O
,gained,O
,in,O
,this,O
,expedition,O
,",",O
,although,O
,me,O
,##ager,O
,",",O
,is,O
,at,O
,least,O
,new,O
,.,O
,Dr,O
,.,O
,Becker,O
,refers,O
,in,O
,four,O
,lines,O
,of,O
,this,O
,report,O
,to,O
,rocks,O
,on,O
,Mar,B-GeographicalLocation
,##ong,I-GeographicalLocation
,##as,I-GeographicalLocation
,Island,I-GeographicalLocation
,just,O
,across,O
,from,O
,the,O
,town,O
,of,O
,Jo,B-GeographicalLocation
,##lo,I-GeographicalLocation
,.,O
,Other,O
,than,O
,this,O
,there,O
,are,O
,no,O
,geological,O
,notes,O
,.,O
,Some,O
,eruption,O
,##s,O
,of,O
,the,O
,year,O
,161,O
,##4,O
,are,O
,described,O
,by,O
,the,O
,resident,O
,Jesuits,O
,but,O
,only,O
,in,O
,a,O
,crude,O
,way,O
,.,O
,It,O
,has,O
,been,O
,known,O
,for,O
,a,O
,long,O
,time,O
,from,O
,the,O
,reports,O
,of,O
,ship,O
,captains,O
,and,O
,travelers,O
,that,O
,the,O
,archipelago,O
,is,O
,largely,O
,volcanic,O
,.,O
,This,O
,great,O
,group,O
,of,O
,islands,O
,extends,O
,for,O
,335,O
,kilometers,O
,southwest,O
,of,O
,Z,B-GeographicalLocation
,##am,I-GeographicalLocation
,##boa,I-GeographicalLocation
,##nga,I-GeographicalLocation
,.,O
,It,O
,is,O
,about,O
,120,O
,kilometers,O
,wide,O
,and,O
,contains,O
,hundreds,O
,of,O
,islands,O
,and,O
,rocky,O
,s,O
,##ho,O
,##als,O
,.,O
,The,O
,most,O
,considerable,O
,of,O
,the,O
,islands,O
,are,O
,Basil,B-GeographicalLocation
,##an,I-GeographicalLocation
,",",O
,Sul,O
,##u,O
,",",O
,Si,B-GeographicalLocation
,##asi,I-GeographicalLocation
,",",O
,and,O
,Ta,B-GeographicalLocation
,##wi,I-GeographicalLocation
,-,I-GeographicalLocation
,ta,I-GeographicalLocation
,##wi,I-GeographicalLocation
,and,O
,although,O
,Basil,O
,##an,O
,is,O
,the,O
,largest,O
,",",O
,Sul,O
,##u,O
,is,O
,of,O
,far,O
,greater,O
,commercial,O
,and,O
,historic,O
,interest,O
,.,O
,The,O
,water,O
,is,O
,nowhere,O
,of,O
,great,O
,depth,O
,within,O
,the,O
,con,O
,##fines,O
,of,O
,this,O
,archipelago,O
,",",O
,but,O
,it,O
,is,O
,separated,O
,both,O
,from,O
,Borneo,B-GeographicalLocation
,and,O
,Mindanao,B-GeographicalLocation
,by,O
,deep,O
,s,O
,##tra,O
,##its,O
,.,O
,To,O
,re,O
,##con,O
,##st,O
,##ru,O
,##ct,O
,a,O
,large,O
,island,O
,out,O
,of,O
,this,O
,s,O
,##warm,O
,of,O
,small,O
,ones,O
,which,O
,may,O
,or,O
,may,O
,not,O
,have,O
,formed,O
,a,O
,continuous,O
,bridge,O
,from,O
,Borneo,O
,to,O
,Z,O
,##am,O
,##boa,O
,##nga,O
,",",O
,and,O
,which,O
,would,O
,since,O
,have,O
,been,O
,disrupted,O
,and,O
,partly,O
,submerged,O
,",",O
,is,O
,not,O
,a,O
,great,O
,tax,O
,upon,O
,the,O
,imagination,O
,.,O
,The,O
,evidence,O
,we,O
,have,O
,points,O
,in,O
,this,O
,direction,O
,.,O
,The,O
,Sul,O
,##u,O
,group,O
,",",O
,like,O
,so,O
,many,O
,other,O
,ocean,O
,##ic,O
,islands,O
,",",O
,is,O
,either,O
,of,O
,volcanic,O
,or,O
,coral,O
,formation,O
,.,O
,I,O
,saw,O
,very,O
,little,O
,sediment,O
,##ary,O
,material,O
,on,O
,any,O
,of,O
,the,O
,islands,O
,and,O
,where,O
,any,O
,such,O
,was,O
,exposed,O
,",",O
,it,O
,was,O
,usually,O
,at,O
,a,O
,point,O
,where,O
,erosion,O
,had,O
,removed,O
,the,O
,lava,O
,cap,O
,##ping,O
,.,O
,I,O
,do,O
,not,O
,know,O
,of,O
,any,O
,marked,O
,volcanic,O
,activity,O
,in,O
,the,O
,Sul,O
,##u,O
,Archipelago,O
,at,O
,the,O
,present,O
,time,O
,",",O
,although,O
,hot,O
,springs,O
,in,O
,old,O
,crater,O
,##s,O
,are,O
,reported,O
,on,O
,C,B-GeographicalLocation
,##aga,I-GeographicalLocation
,##yan,I-GeographicalLocation
,Sul,I-GeographicalLocation
,##u,I-GeographicalLocation
,.,O
,I,O
,have,O
,also,O
,been,O
,informed,O
,that,O
,there,O
,are,O
,hot,O
,springs,O
,and,O
,so,O
,##lf,O
,##ata,O
,##ras,O
,at,O
,Si,B-GeographicalLocation
,##it,I-GeographicalLocation
,Lake,I-GeographicalLocation
,on,O
,Sul,O
,##u,O
,.,O
,This,O
,lake,O
,occupies,O
,an,O
,old,O
,crater,O
,.,O
,I,O
,have,O
,visited,O
,neither,O
,of,O
,these,O
,places,O
,.,O
,An,O
,eruption,O
,at,O
,a,O
,point,O
,near,O
,Jo,O
,##lo,O
,",",O
,not,O
,named,O
,",",O
,is,O
,reported,O
,to,O
,have,O
,occurred,O
,on,O
,January,O
,4,O
,",",O
,164,O
,-,O
,1,O
,As,O
,there,O
,is,O
,some,O
,confusion,O
,of,O
,names,O
,in,O
,this,O
,report,O
,I,O
,do,O
,not,O
,attach,O
,much,O
,importance,O
,to,O
,the,O
,account,O
,.,O
,As,O
,far,O
,as,O
,I,O
,can,O
,learn,O
,",",O
,no,O
,accurate,O
,scientific,O
,notes,O
,were,O
,taken,O
,at,O
,the,O
,time,O
,.,O
,The,O
,only,O
,remaining,O
,reference,O
,I,O
,find,O
,regarding,O
,the,O
,geography,O
,or,O
,geology,O
,of,O
,the,O
,Sul,O
,##u,O
,Archipelago,O
,,
Sentence 4,GE,O
,##OL,O
,##O,O
,##GI,O
,##C,O
,R,O
,##EC,O
,##ON,O
,##NA,O
,##IS,O
,##SA,O
,##NC,O
,##E,O
,OF,O
,MI,B-GeographicalLocation
,##ND,I-GeographicalLocation
,##AN,I-GeographicalLocation
,##A,I-GeographicalLocation
,##O,I-GeographicalLocation
,AND,O
,S,B-GeographicalLocation
,##U,I-GeographicalLocation
,##L,I-GeographicalLocation
,##U,I-GeographicalLocation
,.,O
,48,O
,##1,O
,The,O
,region,O
,around,O
,Camp,B-GeographicalLocation
,Keith,I-GeographicalLocation
,##ley,I-GeographicalLocation
,owing,O
,to,O
,its,O
,altitude,O
,is,O
,much,O
,cooler,O
,than,O
,the,O
,low,O
,country,O
,and,O
,the,O
,climate,O
,is,O
,corresponding,O
,##ly,O
,in,O
,##vi,O
,##gor,O
,##ating,O
,.,O
,However,O
,",",O
,at,O
,certain,O
,times,O
,of,O
,the,O
,year,O
,",",O
,particularly,O
,in,O
,Dee,O
,##era,O
,##ber,O
,and,O
,January,O
,these,O
,posts,O
,are,O
,said,O
,to,O
,be,O
,very,O
,disagree,O
,##able,O
,",",O
,as,O
,they,O
,are,O
,cold,O
,and,O
,raw,O
,like,O
,the,O
,New,B-GeographicalLocation
,England,I-GeographicalLocation
,coast,O
,of,O
,the,O
,United,B-GeographicalLocation
,States,I-GeographicalLocation
,in,O
,the,O
,spring,O
,time,O
,.,O
,Typhoon,O
,##s,O
,are,O
,said,O
,not,O
,to,O
,occur,O
,in,O
,the,O
,latitude,O
,of,O
,Mindanao,B-GeographicalLocation
,and,O
,the,O
,Sul,B-GeographicalLocation
,##u,I-GeographicalLocation
,Islands,I-GeographicalLocation
,.,O
,The,O
,evident,O
,reason,O
,for,O
,this,O
,is,O
,that,O
,the,O
,c,O
,##y,O
,##c,O
,##lon,O
,##ic,O
,storms,O
,",",O
,which,O
,have,O
,their,O
,origin,O
,in,O
,the,O
,Pacific,B-GeographicalLocation
,are,O
,formed,O
,in,O
,a,O
,latitude,O
,much,O
,north,O
,of,O
,that,O
,of,O
,Mindanao,O
,and,O
,as,O
,they,O
,pass,O
,westward,O
,the,O
,are,O
,constantly,O
,curving,O
,to,O
,the,O
,north,O
,",",O
,partly,O
,owing,O
,to,O
,the,O
,original,O
,",",O
,clockwise,O
,movement,O
,of,O
,cyclone,O
,##s,O
,north,O
,of,O
,the,O
,e,O
,##qua,O
,##tor,O
,and,O
,partly,O
,because,O
,of,O
,their,O
,a,O
,##pid,O
,##roa,O
,##eh,O
,to,O
,the,O
,continent,O
,of,O
,Asia,B-GeographicalLocation
,.,O
,According,O
,to,O
,Father,O
,Al,O
,##gue,O
,",",O
,Director,O
,of,O
,the,O
,Philippine,O
,Weather,O
,Bureau,O
,",",O
,a,O
,few,O
,cyclone,O
,##s,O
,form,O
,in,O
,the,O
,Sul,B-GeographicalLocation
,##u,I-GeographicalLocation
,Sea,I-GeographicalLocation
,",",O
,but,O
,these,O
,attain,O
,no,O
,great,O
,importance,O
,either,O
,in,O
,frequency,O
,or,O
,in,O
,intensity,O
,.,O
,Plate,O
,X,O
,##X,O
,##IX,O
,of,O
,Father,O
,Al,O
,##ga,O
,##e,O
,',O
,s,O
,"""",O
,Cyclone,O
,##s,O
,of,O
,the,O
,Far,O
,Ba,O
,##st,O
,"""",O
,-,O
,shows,O
,the,O
,mean,O
,t,O
,##raj,O
,##ector,O
,##ies,O
,of,O
,cyclone,O
,##s,O
,which,O
,pass,O
,over,O
,or,O
,near,O
,the,O
,Archipelago,O
,.,O
,It,O
,is,O
,very,O
,interesting,O
,in,O
,that,O
,it,O
,reveals,O
,how,O
,very,O
,generally,O
,Mindanao,O
,and,O
,the,O
,Sul,O
,##u,O
,group,O
,escape,O
,these,O
,destructive,O
,storms,O
,.,O
,This,O
,fact,O
,is,O
,of,O
,the,O
,first,O
,importance,O
,in,O
,view,O
,of,O
,damage,O
,which,O
,such,O
,storms,O
,might,O
,in,O
,##f,O
,##lic,O
,##t,O
,on,O
,crops,O
,",",O
,particularly,O
,on,O
,hem,O
,##p,O
,which,O
,grows,O
,to,O
,heights,O
,varying,O
,from,O
,10,O
,to,O
,18,O
,feet,O
,",",O
,and,O
,because,O
,of,O
,the,O
,relative,O
,im,O
,##nn,O
,##mity,O
,from,O
,danger,O
,to,O
,vessels,O
,",",O
,such,O
,as,O
,inter,O
,##is,O
,##land,O
,trading,O
,ships,O
,",",O
,Mo,O
,##ro,O
,vines,O
,and,O
,pearl,O
,##ing,O
,boats,O
,.,O
,VI,O
,.,O
,N,O
,##AR,O
,##RA,O
,##TI,O
,##VE,O
,OF,O
,THE,O
,E,O
,##X,O
,##P,O
,##ED,O
,##IT,O
,##ION,O
,.,O
,Z,B-GeographicalLocation
,##am,I-GeographicalLocation
,##boa,I-GeographicalLocation
,##nga,I-GeographicalLocation
,",",O
,the,O
,first,O
,point,O
,visited,O
,by,O
,me,O
,",",O
,is,O
,situated,O
,about,O
,3,O
,miles,O
,from,O
,the,O
,nearest,O
,foothills,B-Habitat
,at,O
,the,O
,edge,O
,of,O
,a,O
,flat,O
,plain,O
,of,O
,considerable,O
,area,O
,at,O
,the,O
,foot,O
,of,O
,the,O
,long,O
,",",O
,narrow,O
,peninsula,O
,of,O
,the,O
,same,O
,name,O
,.,O
,(,O
,See,O
,map,O
,",",O
,Plate,O
,I,O
,),O
,To,O
,the,O
,east,O
,is,O
,a,O
,long,O
,stretch,O
,of,O
,salt,B-Habitat
,-,I-Habitat
,water,I-Habitat
,marsh,I-Habitat
,and,O
,in,O
,its,O
,rear,O
,is,O
,a,O
,scarcely,O
,less,O
,elevated,O
,tract,O
,which,O
,is,O
,taken,O
,up,O
,with,O
,pad,B-Habitat
,##dy,I-Habitat
,fields,I-Habitat
,.,O
,If,O
,t,O
,##lie,O
,Tu,B-GeographicalLocation
,##ma,I-GeographicalLocation
,##ga,I-GeographicalLocation
,River,I-GeographicalLocation
,l,O
,##ia,O
,kept,O
,its,O
,initial,O
,direction,O
,",",O
,it,O
,would,O
,cut,O
,through,O
,the,O
,heart,O
,of,O
,the,O
,city,O
,",",O
,as,O
,it,O
,is,O
,",",O
,it,O
,curves,O
,to,O
,the,O
,east,O
,and,O
,enters,O
,the,O
,sea,O
,opposite,O
,Sa,B-GeographicalLocation
,##ko,I-GeographicalLocation
,##l,I-GeographicalLocation
,Island,I-GeographicalLocation
,.,O
,The,O
,sub,O
,##structure,O
,of,O
,this,O
,plain,O
,is,O
,,
Sentence 5,47,O
,##4,O
,SM,O
,##IT,O
,##H,O
,.,O
,certain,O
,special,O
,areas,O
,likely,O
,to,O
,prove,O
,of,O
,economic,O
,interest,O
,;,O
,(,O
,3,O
,),O
,top,O
,##ographic,O
,route,O
,sketch,O
,##ing,O
,",",O
,and,O
,(,O
,4,O
,),O
,securing,O
,a,O
,knowledge,O
,of,O
,the,O
,work,O
,of,O
,the,O
,prospect,O
,##ors,O
,in,O
,the,O
,field,O
,.,O
,The,O
,party,O
,consisted,O
,of,O
,Warren,O
,D,O
,.,O
,Smith,O
,",",O
,geologist,O
,in,O
,charge,O
,;,O
,Maurice,O
,Goodman,O
,",",O
,mining,O
,engineer,O
,;,O
,Harry,O
,M,O
,.,O
,I,O
,##cki,O
,##s,O
,",",O
,top,O
,##ographer,O
,;,O
,Robert,O
,N,O
,.,O
,Clark,O
,",",O
,assistant,O
,;,O
,as,O
,well,O
,as,O
,Lieutenant,O
,Charles,O
,S,O
,.,O
,C,O
,##af,O
,##fer,O
,##y,O
,",",O
,United,O
,States,O
,Army,O
,",",O
,in,O
,charge,O
,of,O
,the,O
,military,O
,escort,O
,.,O
,The,O
,journey,O
,was,O
,only,O
,made,O
,possible,O
,by,O
,the,O
,assistance,O
,of,O
,the,O
,latter,O
,and,O
,our,O
,thanks,O
,are,O
,due,O
,to,O
,General,O
,Task,O
,##er,O
,H,O
,.,O
,Bliss,O
,",",O
,governor,O
,of,O
,the,O
,Mo,B-GeographicalLocation
,##ro,I-GeographicalLocation
,Province,I-GeographicalLocation
,",",O
,and,O
,to,O
,Lieutenant,O
,C,O
,##af,O
,##fer,O
,##y,O
,for,O
,their,O
,cord,O
,##ial,O
,assistance,O
,.,O
,The,O
,map,O
,at,O
,the,O
,beginning,O
,of,O
,this,O
,paper,O
,shows,O
,the,O
,position,O
,of,O
,Mindanao,B-GeographicalLocation
,and,O
,the,O
,Sul,B-GeographicalLocation
,##u,I-GeographicalLocation
,group,O
,with,O
,relation,O
,to,O
,the,O
,remainder,O
,of,O
,the,O
,Archipelago,O
,.,O
,Rough,O
,##ly,O
,",",O
,these,O
,islands,O
,lie,O
,between,O
,the,O
,parallels,O
,5,O
